id,poliza,monto,antiguedad,siniestros_previos,pago_alto
1,POL-2026-0001,15834862,6,0,0
2,POL-2026-0002,12724000,5,1,1
3,POL-2026-0003,3660277,10,2,1
4,POL-2026-0004,19066319,7,3,1
5,POL-2026-0005,4002511,16,1,0
6,POL-2026-0006,16123962,1,2,1
7,POL-2026-0007,18198292,9,0,1
8,POL-2026-0008,17012757,16,2,0
9,POL-2026-0009,6361430,20,1,0
10,POL-2026-0010,16183345,21,1,1
11,POL-2026-0011,14941835,17,1,1
12,POL-2026-0012,12736741,10,1,0
13,POL-2026-0013,9535603,5,2,1
14,POL-2026-0014,14370504,5,0,1
15,POL-2026-0015,9142253,23,2,1
16,POL-2026-0016,18068201,0,1,1
17,POL-2026-0017,14070143,20,1,0
18,POL-2026-0018,10909368,13,0,0
19,POL-2026-0019,15614649,5,1,1
20,POL-2026-0020,2011976,11,3,1
21,POL-2026-0021,2061260,6,3,1
22,POL-2026-0022,10484366,14,0,0
23,POL-2026-0023,13854263,12,1,1
24,POL-2026-0024,14913606,23,0,0
25,POL-2026-0025,9256225,22,1,1
26,POL-2026-0026,6639011,6,2,1
27,POL-2026-0027,12256260,14,1,0
28,POL-2026-0028,6844002,18,0,1
29,POL-2026-0029,13969178,14,0,1
30,POL-2026-0030,3259758,16,2,0
31,POL-2026-0031,12675246,19,0,0
32,POL-2026-0032,18703546,8,0,0
33,POL-2026-0033,19429889,24,1,0
34,POL-2026-0034,2223227,4,1,1
35,POL-2026-0035,4160422,0,2,1
36,POL-2026-0036,4462084,16,0,0
37,POL-2026-0037,8998932,0,1,1
38,POL-2026-0038,7429728,15,0,0
39,POL-2026-0039,13844780,3,2,1
40,POL-2026-0040,9009184,12,0,0
41,POL-2026-0041,1307572,6,3,1
42,POL-2026-0042,5282417,5,1,0
43,POL-2026-0043,3717534,24,1,1
44,POL-2026-0044,11591627,10,1,1
45,POL-2026-0045,15912286,5,0,1
46,POL-2026-0046,8726275,3,4,1
47,POL-2026-0047,14132612,11,1,1
48,POL-2026-0048,1749634,5,3,1
49,POL-2026-0049,15710570,3,0,0
50,POL-2026-0050,6789778,15,1,0
51,POL-2026-0051,18325686,15,0,0
52,POL-2026-0052,9222865,23,0,0
53,POL-2026-0053,7164650,14,2,1
54,POL-2026-0054,18088640,12,1,1
55,POL-2026-0055,13653753,11,0,0
56,POL-2026-0056,5707181,10,0,0
57,POL-2026-0057,8959564,6,0,0
58,POL-2026-0058,8691728,23,3,1
59,POL-2026-0059,5124564,17,0,0
60,POL-2026-0060,14150605,12,1,0
61,POL-2026-0061,5975020,20,0,0
62,POL-2026-0062,11812434,22,0,1
63,POL-2026-0063,11765878,3,0,1
64,POL-2026-0064,17954516,10,0,1
65,POL-2026-0065,12498145,5,1,1
66,POL-2026-0066,3329931,10,1,0
67,POL-2026-0067,19522287,5,0,1
68,POL-2026-0068,9293203,13,2,1
69,POL-2026-0069,15814457,22,2,0
70,POL-2026-0070,4171514,11,0,0
71,POL-2026-0071,16797407,20,4,1
72,POL-2026-0072,5343687,22,2,0
73,POL-2026-0073,1731673,16,0,0
74,POL-2026-0074,14203625,6,1,1
75,POL-2026-0075,14994209,6,1,1
76,POL-2026-0076,1542541,9,2,0
77,POL-2026-0077,16638396,22,3,1
78,POL-2026-0078,2323927,7,0,0
79,POL-2026-0079,13475399,11,0,1
80,POL-2026-0080,2103043,9,2,0
81,POL-2026-0081,11765837,11,3,1
82,POL-2026-0082,13019240,0,0,1
83,POL-2026-0083,8720614,23,0,0
84,POL-2026-0084,9330193,3,0,0
85,POL-2026-0085,794781,3,3,1
86,POL-2026-0086,754796,10,1,0
87,POL-2026-0087,4258247,6,1,1
88,POL-2026-0088,4602826,21,1,0
89,POL-2026-0089,5584302,11,0,0
90,POL-2026-0090,16553029,16,0,1
91,POL-2026-0091,4184946,8,0,0
92,POL-2026-0092,11351261,12,0,0
93,POL-2026-0093,11792537,18,2,1
94,POL-2026-0094,10347407,17,0,1
95,POL-2026-0095,14874111,5,0,1
96,POL-2026-0096,10130283,6,3,1
97,POL-2026-0097,14702807,24,0,0
98,POL-2026-0098,9907753,6,0,0
99,POL-2026-0099,15491377,5,2,1
100,POL-2026-0100,4918898,14,2,0
101,POL-2026-0101,11643311,6,1,1
102,POL-2026-0102,8590637,9,0,0
103,POL-2026-0103,10860253,19,0,0
104,POL-2026-0104,12770174,5,1,1
105,POL-2026-0105,18121584,23,0,0
106,POL-2026-0106,4190581,0,0,0
107,POL-2026-0107,18607938,4,3,1
108,POL-2026-0108,12680745,7,2,1
109,POL-2026-0109,7559581,23,1,0
110,POL-2026-0110,18866998,16,1,1
111,POL-2026-0111,8817264,3,0,0
112,POL-2026-0112,13437957,22,2,1
113,POL-2026-0113,7939115,24,0,0
114,POL-2026-0114,16673599,10,3,1
115,POL-2026-0115,18421752,14,1,1
116,POL-2026-0116,4795797,19,1,0
